date,paire,action,prix,raison,donnees
25/09 03:31,ETHUSD,SKIP,2689.4,"tendance trop faible ou baissière (EMA20 2681.20, EMA50 2689.90); EMA20 encore montante (+2.13 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 53 dans la zone 45-70","{""ema_fast"": 2681.1963118806693, ""ema_slow"": 2689.9026838015307, ""rsi"": 52.95409085926524, ""atr"": 20.731909666570193}"
25/09 03:31,-,EQUITY,49.90274657036952,capital simulé 49.90 USD dont 24.90 USD de cash,{}
25/09 04:33,SOLUSD,HOLD,118.05,"position gardée : stop 114.91, objectif 120.73, latent -0.03 USD",{}
25/09 04:33,XBTUSD,SKIP,84589.8,"tendance trop faible ou baissière (EMA20 84298.47, EMA50 84489.79); EMA20 encore montante (+77.23 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 54 dans la zone 45-70","{""ema_fast"": 84298.46857883892, ""ema_slow"": 84489.79426986724, ""rsi"": 54.228738851669824, ""atr"": 513.6021442500745}"
25/09 04:33,ETHUSD,SKIP,2688.71,"tendance trop faible ou baissière (EMA20 2681.91, EMA50 2689.86); EMA20 encore montante (+2.31 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 53 dans la zone 45-70","{""ema_fast"": 2681.9119012253677, ""ema_slow"": 2689.8559118877497, ""rsi"": 52.6270620305466, ""atr"": 20.35677326181518}"
25/09 04:33,-,EQUITY,50.07334100325904,capital simulé 50.07 USD dont 24.90 USD de cash,{}
25/09 05:34,SOLUSD,HOLD,116.85,"position gardée : stop 114.91, objectif 120.73, latent -0.28 USD",{}
25/09 05:34,XBTUSD,SKIP,84198.5,"tendance trop faible ou baissière (EMA20 84288.95, EMA50 84478.37); EMA20 encore montante (+52.59 sur 3 bougies); prix sous l'EMA rapide; RSI 48 dans la zone 45-70","{""ema_fast"": 84288.94776180664, ""ema_slow"": 84478.37096516656, ""rsi"": 47.833303089601515, ""atr"": 527.230562517927}"
25/09 05:34,ETHUSD,SKIP,2675.93,"tendance trop faible ou baissière (EMA20 2681.34, EMA50 2689.31); EMA20 encore montante (+1.01 sur 3 bougies); prix sous l'EMA rapide; RSI 47 dans la zone 45-70","{""ema_fast"": 2681.3421963467613, ""ema_slow"": 2689.3097976960735, ""rsi"": 46.85526124727246, ""atr"": 20.69200374311411}"
25/09 05:34,-,EQUITY,49.817449353924765,capital simulé 49.82 USD dont 24.90 USD de cash,{}
25/09 06:37,SOLUSD,HOLD,116.89,"position gardée : stop 114.91, objectif 120.73, latent -0.27 USD",{}
25/09 06:37,XBTUSD,SKIP,84211.2,"tendance trop faible ou baissière (EMA20 84281.54, EMA50 84467.89); EMA20 encore montante (+13.74 sur 3 bougies); prix sous l'EMA rapide; RSI 48 dans la zone 45-70","{""ema_fast"": 84281.54321306315, ""ema_slow"": 84467.89367241484, ""rsi"": 48.04745699731105, ""atr"": 512.035522338075}"
25/09 06:37,ETHUSD,SKIP,2678.1,"tendance trop faible ou baissière (EMA20 2681.03, EMA50 2688.87); EMA20 qui s'essouffle (-0.16 sur 3 bougies); prix sous l'EMA rapide; RSI 48 dans la zone 45-70","{""ema_fast"": 2681.033415742308, ""ema_slow"": 2688.8701977864193, ""rsi"": 47.90010799108083, ""atr"": 19.829003475748827}"
25/09 06:37,-,EQUITY,49.825979075569236,capital simulé 49.83 USD dont 24.90 USD de cash,{}
